episode;season;views;date
1;1;7,89;17.09.2009
2;1;5,39;24.09.2009
3;1;5,86;01.10.2009
4;1;4,87;08.10.2009
5;1;5,01;15.10.2009
6;1;5,04;22.10.2009
7;1;5,32;29.10.2009
8;1;5,45;05.11.2009
9;1;5,09;12.11.2009
10;1;4,86;19.11.2009
11;1;5,42;03.12.2009
12;1;5,51;10.12.2009
13;1;5,42;14.01.2010
14;1;4,75;21.01.2010
15;1;5,23;04.02.2010
16;1;5,15;11.02.2010
17;1;5,02;04.03.2010
18;1;4,6;11.03.2010
19;1;5,07;18.03.2010
20;1;5,07;25.03.2010
21;1;3,67;22.04.2010
22;1;4,36;29.04.2010
23;1;4,35;06.05.2010
24;1;4,49;13.05.2010
25;1;4,43;20.05.2010
26;2;5,01;23.09.2010
27;2;4,53;30.09.2010
28;2;4,2;07.10.2010
29;2;4,81;14.10.2010
30;2;4,46;21.10.2010
31;2;5,64;28.10.2010
32;2;4,61;04.11.2010
33;2;4,53;11.11.2010
34;2;4,41;18.11.2010
35;2;4,55;02.12.2010
36;2;4,29;09.12.2010
37;2;4,73;20.01.2011
38;2;4,59;27.01.2011
39;2;4,37;03.02.2011
40;2;3,81;10.02.2011
41;2;4,11;17.02.2011
42;2;3,79;24.02.2011
43;2;4,15;17.03.2011
44;2;4,46;24.03.2011
45;2;3,49;14.04.2011
46;2;3,17;21.04.2011
47;2;3,35;28.04.2011
48;2;3,49;05.05.2011
49;2;3,32;12.05.2011
50;3;3,93;22.09.2011
51;3;3,98;29.09.2011
52;3;3,35;06.10.2011
53;3;3,78;13.10.2011
54;3;3,42;27.10.2011
55;3;3,84;03.11.2011
56;3;3,49;10.11.2011
57;3;3,62;17.11.2011
58;3;3,74;01.12.2011
59;3;3,6;08.12.2011
60;3;4,75;15.03.2012
61;3;3,87;22.03.2012
62;3;3,48;29.03.2012
63;3;3;05.04.2012
64;3;3,09;12.04.2012
65;3;2,77;19.04.2012
66;3;3,21;26.04.2012
67;3;3,2;03.05.2012
68;3;2,99;10.05.2012
69;3;2,97;17.05.2012
70;3;2,61;17.05.2012
71;3;2,48;17.05.2012
72;4;3,88;07.02.2013
73;4;2,76;14.02.2013
74;4;3,08;21.02.2013
75;4;2,83;28.02.2013
76;4;3,29;07.03.2013
77;4;2,58;14.03.2013
78;4;2,95;21.03.2013
79;4;2,32;04.04.2013
80;4;2,84;11.04.2013
81;4;3,13;18.04.2013
82;4;2,33;25.04.2013
83;4;2,67;02.05.2013
84;4;3,08;09.05.2013
85;5;3,49;02.01.2014
86;5;3,49;02.01.2014
87;5;3,58;09.01.2014
88;5;3,07;16.01.2014
89;5;3,02;23.01.2014
90;5;3,01;30.01.2014
91;5;2,56;27.02.2014
92;5;2,79;06.03.2014
93;5;2,77;13.03.2014
94;5;3,32;20.03.2014
95;5;2,5;03.04.2014
96;5;2,56;10.04.2014
97;5;2,87;17.04.2014
